pcr_batch,pool,conc.1_ng/ul,conc.2_ng/ul,mean_conc.ng/ul,volume_ul,yield_ng
1,1,0.144,0.142,0.143,11,1.573
1,2,0.232,0.232,0.232,11,2.552
1,3,0.108,0.11,0.109,11,1.199
1,4,0.13,0.136,0.133,11,1.463
1,5,0.294,0.296,0.295,11,3.245
1,6,0.87,0.884,0.877,11,9.647
1,7,0.104,0.106,0.105,11,1.155
1,8,0.148,0.146,0.147,11,1.617
1,9,0.114,0.116,0.115,11,1.265
2,1,6.02,6,6.01,11,66.11
2,2,3.18,3.22,3.2,11,35.2
2,3,0.884,0.916,0.9,11,9.9
2,4,2.36,2.32,2.34,11,25.74
2,5,5.72,5.7,5.71,11,62.81
2,6,35.8,36.4,36.1,11,397.1
2,7,4.5,4.52,4.51,11,49.61
2,8,1.42,1.36,1.39,11,15.29
2,9,1.83,1.74,1.785,11,19.635
3,1,2.04,2.06,2.05,11,22.55
3,2,0.854,0.876,0.865,11,9.515
3,3,5.38,5.34,5.36,11,58.96
3,4,8.56,8.46,8.5,11,93.5
3,5,2.76,2.8,2.78,11,30.8
3,6,5.04,5.14,5.09,11,55.99
3,7,1.34,1.35,1.345,11,14.795
3,8,6.92,7.12,7.02,11,77.22
3,9,9.92,9.96,9.94,11,109.34
